MSW_TAXON	TAXON	ORDER	FAMILY	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MASS_KG	H2O_DEP	WILD	TAXON_Kari	ORDER_Kari	FAMILY_Kari	LENGTH_MM	MASS_G	DIET_CLUSTER	FO_CP	FO_EE	FO_CF	FO_ASH	FO_NFE	DIET_CLU	DIET_EIS	flag_false_composition	diet_cat1	diet_eis1	TAXON_OLD1	TAXON_OLD2	last_checked	last_update
Trachypithecus francoisi	Trachypithecus francoisi	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus francoisi	Primates	Cercopithecidae	580	7325		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus geei	Trachypithecus geei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus geei	Primates	Cercopithecidae	580	8100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus germaini	Trachypithecus germaini	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus germaini	Primates	Cercopithecidae	580	9100	H4	10.17	3.781	20.053	12.073	53.923	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Trachypithecus hatinhensis	Trachypithecus hatinhensis	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus hatinhensis	Primates	Cercopithecidae	580	9100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus johnii	Trachypithecus johnii	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus johnii	Primates	Cercopithecidae	580	11600	F2	13.662	5.94	17.975	5.965	56.458	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	NA
Trachypithecus laotum	Trachypithecus laotum	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus laotum	Primates	Cercopithecidae	580	9100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus obscurus	Trachypithecus obscurus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus obscurus	Primates	Cercopithecidae	475	6426		NA	NA	NA	NA	NA			0		NA	NA	NA	Berlin2016June	NA
Trachypithecus phayrei	Trachypithecus phayrei	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus phayrei	Primates	Cercopithecidae	570	7085	H4	11.491	5.436	19.466	7.434	56.172	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	NA
Trachypithecus pileatus	Trachypithecus pileatus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus pileatus	Primates	Cercopithecidae	580	10930		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus poliocephalus	Trachypithecus poliocephalus	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus poliocephalus	Primates	Cercopithecidae	580	9100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus shortridgei	Trachypithecus shortridgei	Primates	Cercopithecidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Trachypithecus shortridgei	Primates	Cercopithecidae	580	9100		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Trachypithecus vetulus	Trachypithecus vetulus	Primates	Cercopithecidae	1	0	1	1	0	0	0	0	NA	NA	NA	Trachypithecus vetulus	Primates	Cercopithecidae	575.5	7035		NA	NA	NA	NA	NA			0		NA	NA	NA	Berlin2016June	NA
Allocebus trichotis	Allocebus trichotis	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Allocebus trichotis	Primates	Cheirogaleidae	142.5	88	F4	12.43	4.245	6.408	3.423	73.494	4.Gumivore		0	F	NA	NA	NA	NA	NA
Cheirogaleus adipicaudatus	Cheirogaleus adipicaudatus	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus adipicaudatus	Primates	Cheirogaleidae	215.5	388.5	F1	21.961	8.23	10.246	4.236	55.328	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Cheirogaleus crossleyi	Cheirogaleus crossleyi	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus crossleyi	Primates	Cheirogaleidae	215.5	388.5	F1	21.961	8.23	10.246	4.236	55.328	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Cheirogaleus major	Cheirogaleus major	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus major	Primates	Cheirogaleidae	215.5	394.2	F1	21.961	8.23	10.246	4.236	55.328	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Cheirogaleus medius	Cheirogaleus medius	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus medius	Primates	Cheirogaleidae	215.5	197	F1	21.961	8.23	10.246	4.236	55.328	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Cheirogaleus minusculus	Cheirogaleus minusculus	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus minusculus	Primates	Cheirogaleidae	215.5	388.5	F2	14.488	7.077	11.684	6.606	60.146	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Cheirogaleus ravus	Cheirogaleus ravus	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus ravus	Primates	Cheirogaleidae	215.5	388.5	F2	14.488	7.077	11.684	6.606	60.146	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Cheirogaleus sibreei	Cheirogaleus sibreei	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Cheirogaleus sibreei	Primates	Cheirogaleidae	215.5	388.5	F1	21.961	8.23	10.246	4.236	55.328	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Microcebus berthae	Microcebus berthae	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Microcebus berthae	Primates	Cheirogaleidae	137.5	33.45	F1	34.27	10.245	9.379	6.943	39.163	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus griseorufus	Microcebus griseorufus	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Microcebus griseorufus	Primates	Cheirogaleidae	137.5	70.24	F1	41.377	10.496	7.273	9.363	31.491	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus murinus	Microcebus murinus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Microcebus murinus	Primates	Cheirogaleidae	137.5	71	F1	41.377	10.496	7.273	9.363	31.491	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus myoxinus	Microcebus myoxinus	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Microcebus myoxinus	Primates	Cheirogaleidae	137.5	31.23	F1	41.377	10.496	7.273	9.363	31.491	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus ravelobensis	Microcebus ravelobensis	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Microcebus ravelobensis	Primates	Cheirogaleidae	137.5	58.6	F1	34.27	10.245	9.379	6.943	39.163	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus rufus	Microcebus rufus	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Microcebus rufus	Primates	Cheirogaleidae	137.5	43	F1	42.414	12.866	8.374	7.95	28.395	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus sambiranensis	Microcebus sambiranensis	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Microcebus sambiranensis	Primates	Cheirogaleidae	137.5	49.06	F1	34.27	10.245	9.379	6.943	39.163	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Microcebus tavaratra	Microcebus tavaratra	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Microcebus tavaratra	Primates	Cheirogaleidae	137.5	68.01	F1	34.27	10.245	9.379	6.943	39.163	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Mirza coquereli	Mirza coquereli	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Mirza coquereli	Primates	Cheirogaleidae	250	306.67	F1	23.691	9.127	7.907	4.048	55.227	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Phaner electromontis	Phaner electromontis	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Phaner electromontis	Primates	Cheirogaleidae	262.5	400	F4	10.357	3.703	4.335	2.983	78.622	4.Gumivore		0	F	NA	NA	NA	NA	NA
Phaner furcifer	Phaner furcifer	Primates	Cheirogaleidae	1	0	1	0	0	0	0	0	NA	NA	NA	Phaner furcifer	Primates	Cheirogaleidae	262.5	400	F4	10.357	3.703	4.335	2.983	78.622	4.Gumivore		0	F	NA	NA	NA	NA	NA
Phaner pallescens	Phaner pallescens	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Phaner pallescens	Primates	Cheirogaleidae	262.5	400	F4	10.357	3.703	4.335	2.983	78.622	4.Gumivore		0	F	NA	NA	NA	NA	NA
Phaner parienti	Phaner parienti	Primates	Cheirogaleidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Phaner parienti	Primates	Cheirogaleidae	262.5	400	F4	10.357	3.703	4.335	2.983	78.622	4.Gumivore		0	F	NA	NA	NA	NA	NA
Daubentonia madagascariensis	Daubentonia madagascariensis	Primates	Daubentoniidae	1	0	1	0	0	0	0	0	NA	NA	NA	Daubentonia madagascariensis	Primates	Daubentoniidae	400	2555	F17	25.993	13.816	7.781	4.625	47.784	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Galago gallarum	Galago gallarum	Primates	Galagidae	1	0	1	0	0	0	0	0	0.2	NA	W	Galago gallarum	Primates	Galagidae	160	200	F2	23.386	7.762	11.483	7.55	49.819	12.Frugivore-Herbivore	Insectivore	0	F	Insectivore	NA	NA	Berlin2016June	NA
Galago senegalensis	Galago senegalensis	Primates	Galagidae	1	0	1	0	0	0	0	0	0.2	L	W	Galago senegalensis	Primates	Galagidae	131.3	201	F1	26.697	7.911	7.733	5.919	51.739	4.Gumivore	Frugivore-omnivore	1	F	Frugivore	NA	NA	Berlin2016June	NA
Galago zanzibaricus	Galago zanzibaricus	Primates	Galagidae	1	0	1	0	0	0	0	0	0.1	NA	W	Galago zanzibaricus	Primates	Galagidae	152.5	143	F1	35.293	9.239	9.689	9.009	36.771	9.Insectivore-Omnivore	Insectivore	0	F	Insectivore	Galagoides zanzibaricus	NA	Berlin2016June	NA
Otolemur crassicaudatus	Otolemur crassicaudatus	Primates	Galagidae	1	0	1	0	0	0	0	0	1.5	NA	W	Otolemur crassicaudatus	Primates	Galagidae	292	1143.33	F1	20.772	7.097	8.686	5.244	58.201	4.Gumivore	Frugivore-omnivore	1	F	Frugivore	NA	NA	NA	NA
Otolemur garnettii	Otolemur garnettii	Primates	Galagidae	1	0	1	0	0	0	0	0	0.8	NA	W	Otolemur garnettii	Primates	Galagidae	367.5	731.33	F1	30.826	9.909	11.01	6.047	42.209	9.Insectivore-Omnivore		0	F	NA	NA	NA	NA	NA
Euoticus elegantulus	Euoticus elegantulus	Primates	Galagonidae	1	0	1	0	0	0	0	0	NA	NA	NA	Euoticus elegantulus	Primates	Galagidae	196	280	F4	24.639	6.476	6.013	4.311	58.561	4.Gumivore	Frugivore-omnivore	0	F	Frugivore	NA	NA	NA	NA
Euoticus pallidus	Euoticus pallidus	Primates	Galagonidae	1	0	1	0	0	0	0	0	NA	NA	NA	Euoticus pallidus	Primates	Galagidae	NA	277.37	F18	2.9	0.26	2.57	2.61	91.66	4.Gumivore		0	F	NA	NA	NA	NA	NA
Galago alleni	Galago alleni	Primates	Galagonidae	1	0	1	0	0	0	0	0	NA	NA	NA	Galago alleni	Primates	Galagidae	195	283	F1	26.573	8.694	10.475	5.884	48.374	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	NA	NA	Berlin2016June	NA
Galago cameronensis	Galago cameronensis	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago cameronensis	Primates	Galagidae	160	212.5	F2	23.386	7.762	11.483	7.55	49.819	12.Frugivore-Herbivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Galago demidoff	Galago demidoff	Primates	Galagonidae	1	0	1	0	0	0	0	0	NA	NA	NA	Galago demidoff	Primates	Galagidae	130	63	F1	36.527	11.375	8.287	5.146	38.665	9.Insectivore-Omnivore	Frugivore-granivore	0	F	Frugivore	Galagoidea demidoff	NA	Berlin2016June	NA
Galago gabonensis	Galago gabonensis	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago gabonensis	Primates	Galagidae	160	212.5	F1	30.826	9.909	11.01	6.047	42.209	9.Insectivore-Omnivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Galago granti	Galago granti	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago granti	Primates	Galagidae	160	212.5	F1	35.293	9.239	9.689	9.009	36.771	9.Insectivore-Omnivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Galago matschiei	Galago matschiei	Primates	Galagonidae	1	0	1	0	0	0	0	0	NA	NA	NA	Galago matschiei	Primates	Galagidae	177.5	210	F1	30.476	9.137	9.841	6.143	44.404	9.Insectivore-Omnivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Galago moholi	Galago moholi	Primates	Galagonidae	1	0	1	0	0	0	0	0	NA	NA	NA	Galago moholi	Primates	Galagidae	160	180	F4	28.72	6.796	5.47	5.05	53.965	4.Gumivore	Frugivore-omnivore	0	F	Frugivore	NA	NA	NA	NA
Galago nyasae	Galago nyasae	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago nyasae	Primates	Galagidae	160	212.5	F4	28.72	6.796	5.47	5.05	53.965	4.Gumivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Galago orinus	Galago orinus	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago orinus	Primates	Galagidae	160	212.5	A5	40.583	12.999	9.65	5.678	31.089	9.Insectivore-Omnivore	Insectivore	1	A	Insectivore	NA	NA	NA	NA
Galago rondoensis	Galago rondoensis	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago rondoensis	Primates	Galagidae	160	212.5	F12	19.855	5.116	4.706	3.239	67.084	4.Gumivore	Insectivore	0	F	Insectivore	NA	NA	NA	NA
Galago thomasi	Galago thomasi	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Galago thomasi	Primates	Galagidae	160	117.35	A5	40.583	12.999	9.65	5.678	31.089	9.Insectivore-Omnivore	Insectivore	1	A	Insectivore	NA	NA	NA	NA
Otolemur monteiri	Otolemur monteiri	Primates	Galagonidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Otolemur monteiri	Primates	Galagidae	367.5	1577.16	F2	23.386	7.762	11.483	7.55	49.819	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Gorilla beringei	Gorilla beringei	Primates	Hominidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Gorilla beringei	Primates	Hominidae	1500	149325.19	H2	11.436	3.181	16.431	20.541	48.41	13.Herbivore-Browser		0	H	NA	NA	NA	NA	NA
Gorilla gorilla	Gorilla gorilla	Primates	Hominidae	1	0	1	0	0	0	0	0	NA	NA	NA	Gorilla gorilla	Primates	Hominidae	1500	101386.11	H2	15.011	5.315	16.655	15.761	47.257	13.Herbivore-Browser	Frugivore-herbivore	0	H	Frugivore	NA	NA	NA	NA
Homo sapiens	Homo sapiens	Primates	Hominidae	1	0	1	0	0	0	0	0	NA	NA	NA	Homo sapiens	Primates	Hominidae	1675	58540.63		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Pan paniscus	Pan paniscus	Primates	Hominidae	1	0	1	0	0	0	0	0	NA	NA	NA	Pan paniscus	Primates	Hominidae	764	32733.33	F2	23.874	7.352	12.719	9.587	46.468	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Pan troglodytes	Pan troglodytes	Primates	Hominidae	1	0	1	0	0	0	0	0	NA	NA	NA	Pan troglodytes	Primates	Hominidae	787.5	37618.18	F2	19.189	7.036	14.62	8.987	50.167	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Pongo abelii	Pongo abelii	Primates	Hominidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Pongo abelii	Primates	Hominidae	1375	39696.12	F2	20.251	6.105	12.527	11.996	49.122	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Pongo pygmaeus	Pongo pygmaeus	Primates	Hominidae	1	0	1	0	0	0	0	0	NA	NA	NA	Pongo pygmaeus	Primates	Hominidae	1375	37115.6	F2	20.792	6.524	10.382	16.792	45.51	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	NA	NA
Bunopithecus hoolock	Bunopithecus hoolock	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Bunopithecus hoolock	Primates	Hylobatidae	NA	6699	F2	11.597	4.963	12.201	6.369	64.87	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Hylobates agilis	Hylobates agilis	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Hylobates agilis	Primates	Hylobatidae	537.5	5666.67	F2	11.791	5.273	12.725	6.43	63.782	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Hylobates albibarbis	Hylobates albibarbis	Primates	Hylobatidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Hylobates albibarbis	Primates	Hylobatidae	537.5	6000	F2	11.791	5.273	12.725	6.43	63.782	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Hylobates concolor	Hylobates concolor	Primates	Hylobatidae	1	NA	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hylobates gabriellae	Hylobates gabriellae	Primates	Hylobatidae	1	NA	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hylobates klossii	Hylobates klossii	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Hylobates klossii	Primates	Hylobatidae	537.5	5795	F2	11.656	4.834	12.596	5.874	65.041	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Hylobates lar	Hylobates lar	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Hylobates lar	Primates	Hylobatidae	525	5540	F2	11.791	5.273	12.725	6.43	63.782	12.Frugivore-Herbivore	Frugivore-granivore	0	F	Frugivore	NA	NA	NA	NA
Hylobates leucogenys	Hylobates leucogenys	Primates	Hylobatidae	1	NA	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hylobates moloch	Hylobates moloch	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Hylobates moloch	Primates	Hylobatidae	500	6415	F2	15.285	6.547	15.447	7.706	55.015	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Hylobates muelleri	Hylobates muelleri	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Hylobates muelleri	Primates	Hylobatidae	537.5	5530	F2	11.791	5.273	12.725	6.43	63.782	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Hylobates pileatus	Hylobates pileatus	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Hylobates pileatus	Primates	Hylobatidae	537.5	5470	F2	11.791	5.273	12.725	6.43	63.782	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Nomascus concolor	Nomascus concolor	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Nomascus concolor	Primates	Hylobatidae	492.5	6389.67	F2	15.285	6.547	15.447	7.706	55.015	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	NA
Nomascus gabriellae	Nomascus gabriellae	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Nomascus gabriellae	Primates	Hylobatidae	NA	NA		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Nomascus hainanus	Nomascus hainanus	Primates	Hylobatidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Nomascus hainanus	Primates	Hylobatidae	NA	NA		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Nomascus leucogenys	Nomascus leucogenys	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Nomascus leucogenys	Primates	Hylobatidae	NA	7365	H4	15.733	5.114	15.591	7.029	56.534	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	NA
Nomascus siki	Nomascus siki	Primates	Hylobatidae	1	NA	1	0	0	0	0	0	NA	NA	NA	Nomascus siki	Primates	Hylobatidae	NA	NA		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	NA
Symphalangus syndactylus	Symphalangus syndactylus	Primates	Hylobatidae	1	0	1	0	0	0	0	0	NA	NA	NA	Symphalangus syndactylus	Primates	Hylobatidae	825	10500	F2	10.98	5.212	15.797	6.252	61.761	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	Hylobates syndactylus	NA	NA	NA
Avahi laniger	Avahi laniger	Primates	Indridae	1	1	1	0	0	0	0	0	NA	NA	NA	Avahi laniger	Primates	Indridae	375	1175	H4	9.511	2.724	19.176	5.907	42.682	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Avahi occidentalis	Avahi occidentalis	Primates	Indridae	1	NA	1	0	0	0	0	0	NA	NA	NA	Avahi occidentalis	Primates	Indridae	375	828.98	H4	9.511	2.724	19.176	5.907	42.682	12.Herbivore-Frugivore		0	H	NA	NA	NA	NA	Espoo2016July
Avahi unicolor	Avahi unicolor	Primates	Indridae	1	NA	1	0	0	0	0	0	NA	NA	NA	Avahi unicolor	Primates	Indridae	375	900		NA	NA	NA	NA	NA			0		NA	NA	NA	NA	Espoo2016July
Indri indri	Indri indri	Primates	Indridae	1	1	1	0	0	0	0	0	NA	NA	NA	Indri indri	Primates	Indridae	755	7918	H4	13.908	3.6	18.497	10.29	53.704	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	Berlin2016June	Berlin2016June
Propithecus coquereli	Propithecus coquereli	Primates	Indridae	1	NA	1	1	0	0	0	0	NA	NA	NA	Propithecus coquereli	Primates	Indridae	500	4189.27	H4	11.496	5.437	19.467	7.437	56.164	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Propithecus deckenii	Propithecus deckenii	Primates	Indridae	1	NA	1	1	0	0	0	0	NA	NA	NA	Propithecus deckenii	Primates	Indridae	500	5000	H4	11.496	5.437	19.467	7.437	56.164	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Propithecus diadema	Propithecus diadema	Primates	Indridae	1	1	1	1	0	0	0	0	NA	NA	NA	Propithecus diadema	Primates	Indridae	500	6100	H4	9.955	4.676	26.15	7.793	51.427	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Propithecus edwardsi	Propithecus edwardsi	Primates	Indridae	1	NA	1	1	0	0	0	0	NA	NA	NA	Propithecus edwardsi	Primates	Indridae	500	6573.27	F16	15.425	6.052	18.126	9.306	51.093	12.Frugivore-Herbivore	Herbivore-browser	0	F	Herbivore	NA	NA	NA	NA
Propithecus perrieri	Propithecus perrieri	Primates	Indridae	1	NA	1	1	0	0	0	0	NA	NA	NA	Propithecus perrieri	Primates	Indridae	500	5000	H4	9.955	4.676	26.15	7.793	51.427	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Propithecus tattersalli	Propithecus tattersalli	Primates	Indridae	1	1	1	1	0	0	0	0	NA	NA	NA	Propithecus tattersalli	Primates	Indridae	500	3490	H4	9.955	4.676	26.15	7.793	51.427	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Propithecus verreauxi	Propithecus verreauxi	Primates	Indridae	1	1	1	1	0	0	0	0	NA	NA	NA	Propithecus verreauxi	Primates	Indridae	500	3657.13	H4	11.496	5.437	19.467	7.437	56.164	12.Herbivore-Frugivore	Herbivore-browser	0	H	Herbivore	NA	NA	NA	NA
Eulemur albifrons	Eulemur albifrons	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Eulemur albifrons	Primates	Lemuridae	375	2500	F2	12.134	6.527	16.205	7.567	57.568	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur albocollaris	Eulemur albocollaris	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Eulemur albocollaris	Primates	Lemuridae	375	2397.37	F2	12.134	6.527	16.205	7.567	57.568	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur cinereiceps	Eulemur cinereiceps	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Eulemur cinereiceps	Primates	Lemuridae	375	2500	F2	12.134	6.527	16.205	7.567	57.568	12.Frugivore-Herbivore		0	F	NA	NA	NA	NA	Espoo2016July
Eulemur collaris	Eulemur collaris	Primates	Lemuridae	1	NA	1	1	1	0	0	0	NA	NA	NA	Eulemur collaris	Primates	Lemuridae	375	2500	F2	12.134	6.527	16.205	7.567	57.568	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur coronatus	Eulemur coronatus	Primates	Lemuridae	1	0	1	1	1	0	0	0	NA	NA	NA	Eulemur coronatus	Primates	Lemuridae	375	1389.25	F2	10.923	5.68	18.358	7.043	57.997	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur fulvus	Eulemur fulvus	Primates	Lemuridae	1	0	1	1	1	0	0	0	NA	NA	NA	Eulemur fulvus	Primates	Lemuridae	440	2107	H4	11.038	7.267	15.565	5.673	60.457	12.Herbivore-Frugivore		0	H	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur macaco	Eulemur macaco	Primates	Lemuridae	1	0	1	1	1	0	0	0	NA	NA	NA	Eulemur macaco	Primates	Lemuridae	375	2130	F2	14.412	6.693	16.673	6.293	55.931	12.Frugivore-Herbivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
Eulemur mongoz	Eulemur mongoz	Primates	Lemuridae	1	0	1	1	1	0	0	0	NA	NA	NA	Eulemur mongoz	Primates	Lemuridae	375	1553	F10	13.931	4.796	11.86	6.636	62.777	3.Nectarivore		0	F	NA	NA	NA	Berlin2016June	Berlin2016June
