ID,MEAN_HYP:1,MEAN_HYP:2,MEAN_HYP:3,MEAN_FCT_HOD:1,MEAN_FCT_HOD:2,MEAN_FCT_HOD:3,MEAN_FCT_AL,MEAN_FCT_OL,MEAN_FCT_SF,MEAN_FCT_OT,MEAN_FCT_CM,NB_SPC,folds_split_C
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F,F
95864,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
95865,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
95866,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
95867,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
95887,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
95888,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
96659,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
96660,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
96661,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
96662,0.857,0.071,0.071,0.929,0.000,0.071,0.143,0.357,0.214,0.071,0.071,14,F:EU
96663,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
96664,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
96665,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
96666,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
96667,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
96681,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.417,0.167,0.000,0.000,12,F:EU
96682,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
96685,0.900,0.100,0.000,1.000,0.000,0.000,0.200,0.500,0.200,0.000,0.000,10,F:EU
96686,0.900,0.100,0.000,1.000,0.000,0.000,0.200,0.500,0.200,0.000,0.000,10,F:EU
96687,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
96688,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
96689,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
96690,0.923,0.077,0.000,1.000,0.000,0.000,0.308,0.385,0.154,0.000,0.000,13,F:EU
97459,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.286,0.000,0.000,14,F:EU
97460,0.867,0.067,0.067,1.000,0.000,0.000,0.200,0.333,0.267,0.000,0.000,15,F:EU
97461,0.857,0.071,0.071,1.000,0.000,0.000,0.214,0.357,0.214,0.000,0.000,14,F:EU
97462,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
97463,0.857,0.071,0.071,0.929,0.000,0.071,0.143,0.357,0.214,0.071,0.071,14,F:EU
97464,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.231,0.000,0.000,13,F:EU
97465,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.364,0.273,0.000,0.000,11,F:EU
97466,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.364,0.273,0.000,0.000,11,F:EU
97467,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
97468,0.857,0.071,0.071,0.929,0.000,0.071,0.143,0.357,0.286,0.071,0.071,14,F:EU
97470,0.889,0.111,0.000,1.000,0.000,0.000,0.111,0.444,0.333,0.000,0.000,9,F:EU
97479,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
97480,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
97481,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
97482,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
97483,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
97484,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
97485,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
97486,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.417,0.167,0.000,0.000,12,F:EU
97487,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
97488,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
97489,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
97490,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
97491,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
97492,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
98260,0.867,0.067,0.067,1.000,0.000,0.000,0.200,0.333,0.267,0.000,0.000,15,F:EU
98261,0.857,0.071,0.071,0.929,0.000,0.071,0.143,0.357,0.286,0.071,0.071,14,F:EU
98262,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
98263,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
98264,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
98265,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
98266,0.833,0.083,0.083,0.917,0.000,0.083,0.167,0.417,0.250,0.083,0.083,12,F:EU
98267,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.364,0.273,0.000,0.000,11,F:EU
98268,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
98269,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
98270,0.889,0.111,0.000,1.000,0.000,0.000,0.111,0.444,0.333,0.000,0.000,9,F:EU
98280,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
98281,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
98282,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
98283,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
98284,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
98285,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
98286,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
98287,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
98288,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.417,0.167,0.000,0.000,12,F:EU
98289,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
98290,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
98291,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.455,0.182,0.000,0.000,11,F:EU
98292,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
98293,0.923,0.077,0.000,1.000,0.000,0.000,0.308,0.385,0.154,0.000,0.000,13,F:EU
99060,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
99061,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.286,0.000,0.000,14,F:EU
99062,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.286,0.000,0.000,14,F:EU
99063,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.250,0.000,0.000,12,F:EU
99064,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
99065,0.857,0.071,0.071,0.929,0.000,0.071,0.143,0.357,0.286,0.071,0.071,14,F:EU
99066,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.333,0.000,0.000,12,F:EU
99067,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.308,0.308,0.000,0.000,13,F:EU
99068,0.909,0.091,0.000,1.000,0.000,0.000,0.182,0.364,0.273,0.000,0.000,11,F:EU
99070,0.889,0.111,0.000,1.000,0.000,0.000,0.111,0.444,0.333,0.000,0.000,9,F:EU
99071,0.889,0.111,0.000,1.000,0.000,0.000,0.111,0.444,0.333,0.000,0.000,9,F:EU
99081,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
99082,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
99083,0.929,0.071,0.000,1.000,0.000,0.000,0.214,0.357,0.214,0.000,0.000,14,F:EU
99084,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
99085,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.231,0.000,0.000,13,F:EU
99086,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
99087,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
99088,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
99089,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
99090,0.923,0.077,0.000,1.000,0.000,0.000,0.231,0.385,0.154,0.000,0.000,13,F:EU
99091,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.417,0.167,0.000,0.000,12,F:EU
99092,0.917,0.083,0.000,1.000,0.000,0.000,0.250,0.417,0.167,0.000,0.000,12,F:EU
99093,0.929,0.071,0.000,1.000,0.000,0.000,0.286,0.357,0.214,0.000,0.000,14,F:EU
99094,0.923,0.077,0.000,1.000,0.000,0.000,0.308,0.385,0.154,0.000,0.000,13,F:EU
99862,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.286,0.000,0.000,14,F:EU
99863,0.867,0.067,0.067,1.000,0.000,0.000,0.200,0.333,0.267,0.000,0.000,15,F:EU
99864,0.857,0.071,0.071,1.000,0.000,0.000,0.143,0.357,0.286,0.000,0.000,14,F:EU
99865,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
99866,0.923,0.077,0.000,1.000,0.000,0.000,0.154,0.308,0.308,0.000,0.000,13,F:EU
99867,0.867,0.067,0.067,0.933,0.000,0.067,0.200,0.333,0.267,0.067,0.067,15,F:EU
99868,0.917,0.083,0.000,1.000,0.000,0.000,0.167,0.333,0.333,0.000,0.000,12,F:EU
